target_arch,source_arch,mean,var,min,max
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.015,0.06959402658462524,2.055315098330021e-06,0.06831461368799209,0.07232610009908676
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.045,0.07018252865076065,2.028928501765186e-06,0.06843520905971527,0.07150305452346802
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.015,0.06946044296979904,2.4936122933908917e-07,0.06871447123289108,0.07021777250766754
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.045,0.07018252865076065,2.028928501765186e-06,0.06843520905971527,0.07150305452346802
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.015,0.06946044296979904,2.4936122933908917e-07,0.06871447123289108,0.07021777250766754
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.045,0.06915913669586182,1.521446058132537e-06,0.06788964896202088,0.07107131752967834
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.015,0.06942684748172759,2.1924952093251315e-06,0.06763851542472839,0.07186901652812958
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.045,0.06876964977502822,1.6997093160028434e-06,0.06777327085733413,0.07120092375278472
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.015,0.06959402658462524,2.055315098330021e-06,0.06831461368799209,0.07232610009908676
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.045,0.06959402658462524,2.055315098330021e-06,0.06831461368799209,0.07232610009908676
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.015,0.07072433518648147,4.0805665204176695e-06,0.06745758980512619,0.07315754336118697
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.045,0.07072433518648147,4.0805665204176695e-06,0.06745758980512619,0.07315754336118697
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.015,0.07034626145124437,1.8036643701289564e-06,0.06851546083688737,0.07250516958236694
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.045,0.07081026452541352,1.926110844633094e-06,0.06883230602741242,0.07209717215299606
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.015,0.07056990942001343,1.0761253598141587e-06,0.06948368821144103,0.07248930578231812
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.045,0.07081026452541352,1.926110844633094e-06,0.06883230602741242,0.07209717215299606
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.015,0.07056990942001343,1.0761253598141587e-06,0.06948368821144103,0.07248930578231812
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.045,0.07028191672563552,1.7089606011964712e-06,0.06847395033836365,0.072187337744236
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.25_a0.015,0.07067765635967255,1.5782549589445778e-06,0.06918892185688019,0.07296106398105622
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.25_a0.045,0.07037887929439544,3.2209063317407893e-06,0.06867385053634643,0.07283418041467667
mlp_2x_256x128_do0.15_a0.045,mlp_3x_192x192x128_do0.15_a0.015,0.07034626145124437,1.8036643701289564e-06,0.06851546083688737,0.07250516958236694
mlp_2x_256x128_do0.15_a0.045,mlp_3x_192x192x128_do0.15_a0.045,0.07034626145124437,1.8036643701289564e-06,0.06851546083688737,0.07250516958236694
mlp_2x_256x128_do0.15_a0.045,mlp_3x_192x192x128_do0.25_a0.015,0.07181600205659866,6.357249735523503e-06,0.06857794213294983,0.07522203741073609
mlp_2x_256x128_do0.15_a0.045,mlp_3x_192x192x128_do0.25_a0.045,0.07181600205659866,6.357249735523503e-06,0.06857794213294983,0.07522203741073609
mlp_2x_256x128_do0.25_a0.015,mlp_2x_256x128_do0.15_a0.015,0.06761773176193238,1.4268901249135983e-06,0.0659623173236847,0.06936267113685608
mlp_2x_256x128_do0.25_a0.015,mlp_2x_256x128_do0.15_a0.045,0.06797531622171402,1.405404714364853e-06,0.06662692189216614,0.06972802588939667
mlp_2x_256x128_do0.25_a0.015,mlp_2x_256x128_do0.25_a0.015,0.06691249408960342,1.5938858315154512e-06,0.06469949046373367,0.0683053260564804
mlp_2x_256x128_do0.25_a0.015,mlp_2x_256x128_do0.25_a0.045,0.06797531622171402,1.405404714364853e-06,0.06662692189216614,0.06972802588939667
mlp_2x_256x128_do0.25_a0.015,mlp_2x_192x192_do0.15_a0.015,0.06691249408960342,1.5938858315154512e-06,0.06469949046373367,0.0683053260564804
mlp_2x_256x128_do0.25_a0.015,mlp_2x_192x192_do0.15_a0.045,0.06825212810993195,6.370799372236988e-07,0.0673495306611061,0.06966339470148086
mlp_2x_256x128_do0.25_a0.015,mlp_2x_192x192_do0.25_a0.015,0.06774305384635924,1.8268674706279512e-06,0.06578361977338791,0.06987062726020812
mlp_2x_256x128_do0.25_a0.015,mlp_2x_192x192_do0.25_a0.045,0.06731317947387695,2.2388912906986893e-06,0.06551035012006759,0.06911608467102051
mlp_2x_256x128_do0.25_a0.015,mlp_3x_192x192x128_do0.15_a0.015,0.06761773176193238,1.4268901249135983e-06,0.0659623173236847,0.06936267113685608
mlp_2x_256x128_do0.25_a0.015,mlp_3x_192x192x128_do0.15_a0.045,0.06761773176193238,1.4268901249135983e-06,0.0659623173236847,0.06936267113685608
mlp_2x_256x128_do0.25_a0.015,mlp_3x_192x192x128_do0.25_a0.015,0.06927819133043289,2.219293125170732e-06,0.06744351553916932,0.07143291125297546
mlp_2x_256x128_do0.25_a0.015,mlp_3x_192x192x128_do0.25_a0.045,0.06927819133043289,2.219293125170732e-06,0.06744351553916932,0.07143291125297546
mlp_2x_256x128_do0.25_a0.045,mlp_2x_256x128_do0.15_a0.015,0.06854808872938156,9.23766554463309e-07,0.06698729059696197,0.06960744473934173
mlp_2x_256x128_do0.25_a0.045,mlp_2x_256x128_do0.15_a0.045,0.06859030474185943,1.7191334667748927e-06,0.06724640353918075,0.0709011945605278
mlp_2x_256x128_do0.25_a0.045,mlp_2x_256x128_do0.25_a0.015,0.06778418297290803,8.497947232368372e-07,0.06615732412338257,0.06883397442102432
mlp_2x_256x128_do0.25_a0.045,mlp_2x_256x128_do0.25_a0.045,0.06859030474185943,1.7191334667748927e-06,0.06724640353918075,0.0709011945605278
mlp_2x_256x128_do0.25_a0.045,mlp_2x_192x192_do0.15_a0.015,0.06778418297290803,8.497947232368372e-07,0.06615732412338257,0.06883397442102432
mlp_2x_256x128_do0.25_a0.045,mlp_2x_192x192_do0.15_a0.045,0.06872069460630417,7.430443793812377e-07,0.06724478106498719,0.0696411966919899
mlp_2x_256x128_do0.25_a0.045,mlp_2x_192x192_do0.25_a0.015,0.06803028914690018,1.9714690377484666e-06,0.06692024402618409,0.0706645833015442
mlp_2x_256x128_do0.25_a0.045,mlp_2x_192x192_do0.25_a0.045,0.06884711832523346,2.488286508040984e-06,0.06641895728111268,0.07047692626714706
mlp_2x_256x128_do0.25_a0.045,mlp_3x_192x192x128_do0.15_a0.015,0.06854808872938156,9.23766554463309e-07,0.06698729059696197,0.06960744473934173
mlp_2x_256x128_do0.25_a0.045,mlp_3x_192x192x128_do0.15_a0.045,0.06854808872938156,9.23766554463309e-07,0.06698729059696197,0.06960744473934173
mlp_2x_256x128_do0.25_a0.045,mlp_3x_192x192x128_do0.25_a0.015,0.07130595162391662,3.437033621117411e-06,0.06909881411790848,0.07380688688755035
mlp_2x_256x128_do0.25_a0.045,mlp_3x_192x192x128_do0.25_a0.045,0.07130595162391662,3.437033621117411e-06,0.06909881411790848,0.07380688688755035
mlp_2x_192x192_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.015,0.070168516163826,1.4720196402613208e-06,0.06881200453042984,0.07178353713750839
mlp_2x_192x192_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.045,0.06966860025405883,3.364429947286019e-06,0.06696038227081298,0.0719177362203598
mlp_2x_192x192_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.015,0.06945211901664734,2.037038423315968e-06,0.06777760236263275,0.07175378419160842
mlp_2x_192x192_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.045,0.06966860025405883,3.364429947286019e-06,0.06696038227081298,0.0719177362203598
mlp_2x_192x192_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.015,0.06945211901664734,2.037038423315968e-06,0.06777760236263275,0.07175378419160842
mlp_2x_192x192_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.045,0.07076715180397034,1.533799193426969e-06,0.06842681527137756,0.07181443415880204
mlp_2x_192x192_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.015,0.0707118377304077,7.524880507894321e-07,0.06961624755859375,0.07171197221279144
mlp_2x_192x192_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.045,0.07043373502016068,3.854985751742097e-06,0.0679757393360138,0.07353882378339767
mlp_2x_192x192_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.015,0.070168516163826,1.4720196402613208e-06,0.06881200453042984,0.07178353713750839
mlp_2x_192x192_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.045,0.070168516163826,1.4720196402613208e-06,0.06881200453042984,0.07178353713750839
mlp_2x_192x192_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.015,0.07154876512765884,1.9223776549792227e-06,0.06986831129789352,0.07370106196403503
mlp_2x_192x192_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.045,0.07154876512765884,1.9223776549792227e-06,0.06986831129789352,0.07370106196403503
mlp_2x_192x192_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.015,0.07201209528923035,2.2134321755463805e-06,0.070442669069767,0.07466356062889098
mlp_2x_192x192_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.045,0.07183410109758377,3.4296824613998887e-06,0.0691769519329071,0.07475864119529724
mlp_2x_192x192_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.015,0.07064705123186112,1.511298839322752e-06,0.06926732081174851,0.07240625832080841
mlp_2x_192x192_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.045,0.07183410109758377,3.4296824613998887e-06,0.0691769519329071,0.07475864119529724
mlp_2x_192x192_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.015,0.07064705123186112,1.511298839322752e-06,0.06926732081174851,0.07240625832080841
mlp_2x_192x192_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.045,0.07211904829978943,1.059508945338531e-06,0.07016408128738404,0.07302350037097931
mlp_2x_192x192_do0.15_a0.045,mlp_2x_192x192_do0.25_a0.015,0.0718007872915268,2.578204019955847e-06,0.06897737514972686,0.07363330599069595
mlp_2x_192x192_do0.15_a0.045,mlp_2x_192x192_do0.25_a0.045,0.07172040328025818,2.9655607261809873e-06,0.06894530588388444,0.07421317355632782
mlp_2x_192x192_do0.15_a0.045,mlp_3x_192x192x128_do0.15_a0.015,0.07201209528923035,2.2134321755463805e-06,0.070442669069767,0.07466356062889098
mlp_2x_192x192_do0.15_a0.045,mlp_3x_192x192x128_do0.15_a0.045,0.07201209528923035,2.2134321755463805e-06,0.070442669069767,0.07466356062889098
mlp_2x_192x192_do0.15_a0.045,mlp_3x_192x192x128_do0.25_a0.015,0.07246841859579087,3.3866684450513576e-06,0.06989376870393753,0.07541795747280121
mlp_2x_192x192_do0.15_a0.045,mlp_3x_192x192x128_do0.25_a0.045,0.07246841859579087,3.3866684450513576e-06,0.06989376870393753,0.07541795747280121
mlp_2x_192x192_do0.25_a0.015,mlp_2x_256x128_do0.15_a0.015,0.06963208650827409,1.8758820780188498e-06,0.06769694676399231,0.07179824858903885
mlp_2x_192x192_do0.25_a0.015,mlp_2x_256x128_do0.15_a0.045,0.06958522089719772,1.8622654587497961e-06,0.06717533047199249,0.0711424568414688
mlp_2x_192x192_do0.25_a0.015,mlp_2x_256x128_do0.25_a0.015,0.06883035000324249,1.79803187792642e-06,0.06627867254018784,0.06989649027585983
mlp_2x_192x192_do0.25_a0.015,mlp_2x_256x128_do0.25_a0.045,0.06958522089719772,1.8622654587497961e-06,0.06717533047199249,0.0711424568414688
mlp_2x_192x192_do0.25_a0.015,mlp_2x_192x192_do0.15_a0.015,0.06883035000324249,1.79803187792642e-06,0.06627867254018784,0.06989649027585983
mlp_2x_192x192_do0.25_a0.015,mlp_2x_192x192_do0.15_a0.045,0.06908000799417495,7.970734166317348e-07,0.06764057924747467,0.07045469901561736
mlp_2x_192x192_do0.25_a0.015,mlp_2x_192x192_do0.25_a0.015,0.06942768707752228,3.8955459862966385e-06,0.06677726769447327,0.07223022178411484
mlp_2x_192x192_do0.25_a0.015,mlp_2x_192x192_do0.25_a0.045,0.06952238583803176,9.470595153487024e-07,0.06796562259197235,0.07058331009149552
mlp_2x_192x192_do0.25_a0.015,mlp_3x_192x192x128_do0.15_a0.015,0.06963208650827409,1.8758820780188498e-06,0.06769694676399231,0.07179824858903885
mlp_2x_192x192_do0.25_a0.015,mlp_3x_192x192x128_do0.15_a0.045,0.06963208650827409,1.8758820780188498e-06,0.06769694676399231,0.07179824858903885
mlp_2x_192x192_do0.25_a0.015,mlp_3x_192x192x128_do0.25_a0.015,0.07179841155529022,4.799225600302366e-06,0.06893783204555512,0.07513043928146362
mlp_2x_192x192_do0.25_a0.015,mlp_3x_192x192x128_do0.25_a0.045,0.07179841155529022,4.799225600302366e-06,0.06893783204555512,0.07513043928146362
mlp_2x_192x192_do0.25_a0.045,mlp_2x_256x128_do0.15_a0.015,0.07087822557687759,1.3938573576872435e-06,0.06917846494913102,0.07285515713691712
mlp_2x_192x192_do0.25_a0.045,mlp_2x_256x128_do0.15_a0.045,0.07160267786026,1.7333121890980312e-06,0.06909000368118286,0.0729456218957901
mlp_2x_192x192_do0.25_a0.045,mlp_2x_256x128_do0.25_a0.015,0.06970187874555588,2.0662472812571305e-06,0.0678242678642273,0.07196470583677292
mlp_2x_192x192_do0.25_a0.045,mlp_2x_256x128_do0.25_a0.045,0.07160267786026,1.7333121890980312e-06,0.06909000368118286,0.0729456218957901
mlp_2x_192x192_do0.25_a0.045,mlp_2x_192x192_do0.15_a0.015,0.06970187874555588,2.0662472812571305e-06,0.0678242678642273,0.07196470583677292
mlp_2x_192x192_do0.25_a0.045,mlp_2x_192x192_do0.15_a0.045,0.06986926671504974,3.6659742014357216e-07,0.06883234199285507,0.07068798596858979
mlp_2x_192x192_do0.25_a0.045,mlp_2x_192x192_do0.25_a0.015,0.07095530513525009,2.0085146337816614e-06,0.0690088537812233,0.07292749314308167
mlp_2x_192x192_do0.25_a0.045,mlp_2x_192x192_do0.25_a0.045,0.0706305958366394,7.813663365380277e-07,0.06916460653543473,0.07165731786489486
mlp_2x_192x192_do0.25_a0.045,mlp_3x_192x192x128_do0.15_a0.015,0.07087822557687759,1.3938573576872435e-06,0.06917846494913102,0.07285515713691712
mlp_2x_192x192_do0.25_a0.045,mlp_3x_192x192x128_do0.15_a0.045,0.07087822557687759,1.3938573576872435e-06,0.06917846494913102,0.07285515713691712
mlp_2x_192x192_do0.25_a0.045,mlp_3x_192x192x128_do0.25_a0.015,0.07305298660516739,4.930455895466583e-06,0.07038784207105636,0.07640739266872407
mlp_2x_192x192_do0.25_a0.045,mlp_3x_192x192x128_do0.25_a0.045,0.07305298660516739,4.930455895466583e-06,0.07038784207105636,0.07640739266872407
mlp_3x_192x192x128_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.015,0.07520425719499588,1.374830517390232e-06,0.0743371499300003,0.07752783383131027
mlp_3x_192x192x128_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.045,0.07418104449987412,3.5427432577366884e-06,0.07245911439657211,0.07774445275068283
mlp_3x_192x192x128_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.015,0.07355231311082841,3.755639932148006e-06,0.07192551538944245,0.07723769074678422
mlp_3x_192x192x128_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.045,0.07418104449987412,3.5427432577366884e-06,0.07245911439657211,0.07774445275068283
mlp_3x_192x192x128_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.015,0.07355231311082841,3.755639932148006e-06,0.07192551538944245,0.07723769074678422
mlp_3x_192x192x128_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.045,0.0744864765381813,5.48304886844803e-06,0.07195184161663055,0.07859204852581024
mlp_3x_192x192x128_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.015,0.07379869055271149,3.868242325039604e-06,0.07117490179538727,0.07694302599430085
mlp_3x_192x192x128_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.045,0.0751550500679016,1.6288068548845036e-06,0.07322287697792053,0.07645973620414734
mlp_3x_192x192x128_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.015,0.07520425719499588,1.374830517390232e-06,0.0743371499300003,0.07752783383131027
mlp_3x_192x192x128_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.045,0.07520425719499588,1.374830517390232e-06,0.0743371499300003,0.07752783383131027
mlp_3x_192x192x128_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.015,0.07958182854652404,1.9640853289578262e-05,0.07446388005018234,0.08719864373207092
mlp_3x_192x192x128_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.045,0.07958182854652404,1.9640853289578262e-05,0.07446388005018234,0.08719864373207092
mlp_3x_192x192x128_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.015,0.07554128581523896,1.1585160552866695e-06,0.07436650748252868,0.07750808749198913
mlp_3x_192x192x128_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.045,0.07505417906999587,5.221634952784531e-06,0.07229628813266754,0.07899661356210709
mlp_3x_192x192x128_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.015,0.07446794334411622,3.815963896071906e-06,0.07167302505970001,0.0775871240735054
mlp_3x_192x192x128_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.045,0.07505417906999587,5.221634952784531e-06,0.07229628813266754,0.07899661356210709
mlp_3x_192x192x128_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.015,0.07446794334411622,3.815963896071906e-06,0.07167302505970001,0.0775871240735054
mlp_3x_192x192x128_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.045,0.07545272978067398,2.8999577188400503e-06,0.0736969631433487,0.0783292284488678
mlp_3x_192x192x128_do0.15_a0.045,mlp_2x_192x192_do0.25_a0.015,0.07428374433040619,2.9897903224518616e-06,0.07110268964767456,0.0761425353527069
mlp_3x_192x192x128_do0.15_a0.045,mlp_2x_192x192_do0.25_a0.045,0.07535481864452362,1.5896730386030074e-06,0.0736666621685028,0.07680354801416397
mlp_3x_192x192x128_do0.15_a0.045,mlp_3x_192x192x128_do0.15_a0.015,0.07554128581523896,1.1585160552866695e-06,0.07436650748252868,0.07750808749198913
mlp_3x_192x192x128_do0.15_a0.045,mlp_3x_192x192x128_do0.15_a0.045,0.07554128581523896,1.1585160552866695e-06,0.07436650748252868,0.07750808749198913
mlp_3x_192x192x128_do0.15_a0.045,mlp_3x_192x192x128_do0.25_a0.015,0.08025508361816405,5.805822501251953e-06,0.07634178035259247,0.08310505208969116
mlp_3x_192x192x128_do0.15_a0.045,mlp_3x_192x192x128_do0.25_a0.045,0.08025508361816405,5.805822501251953e-06,0.07634178035259247,0.08310505208969116
mlp_3x_192x192x128_do0.25_a0.015,mlp_2x_256x128_do0.15_a0.015,0.07663916249513626,6.187429162074512e-06,0.07387543091773986,0.08096664899587631
mlp_3x_192x192x128_do0.25_a0.015,mlp_2x_256x128_do0.15_a0.045,0.076465663793087,9.787427895441123e-06,0.07271189643144607,0.08171346462965011
mlp_3x_192x192x128_do0.25_a0.015,mlp_2x_256x128_do0.25_a0.015,0.07647687045574189,8.962652431008743e-06,0.07289897367954254,0.08180002003908157
mlp_3x_192x192x128_do0.25_a0.015,mlp_2x_256x128_do0.25_a0.045,0.076465663793087,9.787427895441123e-06,0.07271189643144607,0.08171346462965011
mlp_3x_192x192x128_do0.25_a0.015,mlp_2x_192x192_do0.15_a0.015,0.07647687045574189,8.962652431008743e-06,0.07289897367954254,0.08180002003908157
mlp_3x_192x192x128_do0.25_a0.015,mlp_2x_192x192_do0.15_a0.045,0.0758794857430458,1.0691698422433484e-05,0.071248492705822,0.08022646746635437
mlp_3x_192x192x128_do0.25_a0.015,mlp_2x_192x192_do0.25_a0.015,0.07706722155094146,3.6247061202248355e-06,0.0739978117465973,0.07947621246576309
mlp_3x_192x192x128_do0.25_a0.015,mlp_2x_192x192_do0.25_a0.045,0.07561899446249008,2.3845574921721323e-06,0.0735318631887436,0.07783476626873016
mlp_3x_192x192x128_do0.25_a0.015,mlp_3x_192x192x128_do0.15_a0.015,0.07663916249513626,6.187429162074512e-06,0.07387543091773986,0.08096664899587631
mlp_3x_192x192x128_do0.25_a0.015,mlp_3x_192x192x128_do0.15_a0.045,0.07663916249513626,6.187429162074512e-06,0.07387543091773986,0.08096664899587631
mlp_3x_192x192x128_do0.25_a0.015,mlp_3x_192x192x128_do0.25_a0.015,0.07804228152990342,1.313430692272463e-05,0.07246097800731659,0.08225399358272552
mlp_3x_192x192x128_do0.25_a0.015,mlp_3x_192x192x128_do0.25_a0.045,0.07804228152990342,1.313430692272463e-05,0.07246097800731659,0.08225399358272552
mlp_3x_192x192x128_do0.25_a0.045,mlp_2x_256x128_do0.15_a0.015,0.07712443020105361,3.1925069559361233e-06,0.07518541884422303,0.08026898366212845
mlp_3x_192x192x128_do0.25_a0.045,mlp_2x_256x128_do0.15_a0.045,0.07723001476049422,6.670905301684099e-06,0.07475077600479126,0.08196724597215653
mlp_3x_192x192x128_do0.25_a0.045,mlp_2x_256x128_do0.25_a0.015,0.07622736982584,9.255078757192545e-06,0.07304380991458893,0.08203537262678147
mlp_3x_192x192x128_do0.25_a0.045,mlp_2x_256x128_do0.25_a0.045,0.07723001476049422,6.670905301684099e-06,0.07475077600479126,0.08196724597215653
mlp_3x_192x192x128_do0.25_a0.045,mlp_2x_192x192_do0.15_a0.015,0.07622736982584,9.255078757192545e-06,0.07304380991458893,0.08203537262678147
mlp_3x_192x192x128_do0.25_a0.045,mlp_2x_192x192_do0.15_a0.045,0.07617455691576004,6.706121117389903e-06,0.07293284578323364,0.07981156034469604
mlp_3x_192x192x128_do0.25_a0.045,mlp_2x_192x192_do0.25_a0.015,0.07609212684154511,2.3032364274884597e-06,0.0738850375533104,0.0782270209312439
mlp_3x_192x192x128_do0.25_a0.045,mlp_2x_192x192_do0.25_a0.045,0.0763068921995163,2.458179332224248e-06,0.0747689380645752,0.07898399757146836
mlp_3x_192x192x128_do0.25_a0.045,mlp_3x_192x192x128_do0.15_a0.015,0.07712443020105361,3.1925069559361233e-06,0.07518541884422303,0.08026898366212845
mlp_3x_192x192x128_do0.25_a0.045,mlp_3x_192x192x128_do0.15_a0.045,0.07712443020105361,3.1925069559361233e-06,0.07518541884422303,0.08026898366212845
mlp_3x_192x192x128_do0.25_a0.045,mlp_3x_192x192x128_do0.25_a0.015,0.07668540294647216,8.252883549872512e-06,0.07212666246891021,0.08020020067691803
mlp_3x_192x192x128_do0.25_a0.045,mlp_3x_192x192x128_do0.25_a0.045,0.07668540294647216,8.252883549872512e-06,0.07212666246891021,0.08020020067691803
